credit_score,annual_income,loan_amount,employment_length_years,debt_to_income_ratio,num_previous_defaults,loan_term_months,interest_rate,home_ownership,loan_purpose,default
731,47399.02,11283.01,0.3,0.133,0,36,6.82,MORTGAGE,major_purchase,0
848,46990.49,39461.09,2.6,0.024,0,60,8.75,RENT,home_improvement,0
666,18090.17,23144.99,6.9,0.154,0,60,10.02,RENT,home_improvement,1
525,44408.35,21316.32,1.7,0.18,0,36,14.49,RENT,home_improvement,1
523,45670.46,28258.5,6.2,0.514,0,36,13.56,RENT,major_purchase,1
530,45609.36,10461.72,0.0,0.221,3,60,14.07,RENT,credit_card,0
748,92703.49,19848.31,2.0,0.658,0,36,8.88,MORTGAGE,home_improvement,0
476,28364.42,42293.32,13.9,0.483,0,36,18.06,MORTGAGE,debt_consolidation,1
392,33823.8,11483.3,3.5,0.325,0,60,18.55,RENT,credit_card,1
484,15131.17,41549.68,2.8,0.364,0,36,16.77,MORTGAGE,other,1
312,39481.5,44745.23,10.7,0.631,3,36,21.99,RENT,debt_consolidation,1
358,41025.96,3283.92,1.3,0.115,0,36,18.91,RENT,credit_card,0
349,38968.55,24380.68,0.4,0.36,1,36,18.3,MORTGAGE,credit_card,0
725,80696.85,8560.05,4.9,0.449,0,60,8.43,MORTGAGE,debt_consolidation,0
698,72205.96,28355.43,6.4,0.289,0,60,11.97,MORTGAGE,debt_consolidation,0
683,50768.71,44539.88,4.0,0.209,0,60,9.83,RENT,other,0
554,41490.68,40462.76,1.5,0.427,0,36,13.66,RENT,debt_consolidation,0
695,77791.34,41693.33,4.3,0.347,1,60,10.85,MORTGAGE,debt_consolidation,0
388,48586.89,10387.39,4.6,0.417,0,60,20.12,RENT,home_improvement,0
796,33920.62,24862.06,2.7,0.313,0,36,6.12,OWN,major_purchase,0
576,22644.86,11332.56,0.4,0.306,0,36,14.77,RENT,debt_consolidation,0
816,40191.41,40574.69,10.4,0.299,0,60,7.49,RENT,debt_consolidation,0
383,68843.4,9410.78,13.2,0.288,0,60,18.8,MORTGAGE,major_purchase,1
574,136549.49,7774.19,12.0,0.334,1,60,11.69,MORTGAGE,debt_consolidation,0
683,50398.9,1535.16,4.3,0.205,0,60,11.72,MORTGAGE,debt_consolidation,0
573,34738.02,9005.71,1.1,0.082,0,36,14.38,MORTGAGE,debt_consolidation,0
545,28760.71,9349.57,3.8,0.413,0,36,14.99,MORTGAGE,major_purchase,0
391,62842.05,4409.57,1.3,0.512,0,36,17.59,OWN,major_purchase,0
509,22157.31,39180.61,5.6,0.309,0,36,18.54,MORTGAGE,credit_card,0
431,62796.54,35319.9,1.4,0.159,0,36,16.87,MORTGAGE,other,0
466,70825.21,12197.19,7.4,0.363,0,36,16.41,RENT,debt_consolidation,1
676,59654.55,35463.34,1.6,0.565,0,36,12.13,MORTGAGE,debt_consolidation,0
647,44406.99,19575.24,1.2,0.025,3,60,11.92,MORTGAGE,credit_card,0
634,63210.35,35122.89,2.6,0.156,0,36,12.42,MORTGAGE,major_purchase,0
499,52940.41,15212.34,4.0,0.127,0,60,14.67,RENT,debt_consolidation,1
828,34539.0,25844.79,11.3,0.082,0,36,5.01,MORTGAGE,debt_consolidation,0
348,112722.64,17790.86,1.4,0.399,0,60,20.97,RENT,debt_consolidation,0
488,41845.7,9257.74,11.0,0.53,0,60,15.95,MORTGAGE,home_improvement,0
365,69500.45,26767.85,5.6,0.202,0,60,22.3,MORTGAGE,debt_consolidation,1
486,16508.38,34036.56,4.8,0.075,0,36,15.1,OWN,credit_card,0
830,87065.14,34136.71,7.8,0.266,0,36,6.02,RENT,debt_consolidation,0
501,94934.62,16676.73,1.5,0.391,0,36,16.31,RENT,credit_card,0
800,49683.35,23823.32,2.1,0.203,3,60,6.85,RENT,debt_consolidation,0
572,63035.1,34606.26,0.1,0.358,0,36,13.07,MORTGAGE,other,0
685,63027.84,3397.89,6.5,0.247,0,36,10.82,RENT,home_improvement,0
552,36707.9,4163.09,0.5,0.403,0,36,17.03,RENT,credit_card,0
446,62705.54,17553.8,9.5,0.457,0,36,16.91,RENT,debt_consolidation,0
721,34068.08,10832.75,4.3,0.469,0,60,7.75,MORTGAGE,debt_consolidation,0
834,37274.3,17484.42,7.1,0.41,0,36,7.07,RENT,credit_card,0
445,81399.5,5125.14,2.8,0.619,3,60,17.29,RENT,debt_consolidation,1
729,76008.16,27048.35,5.1,0.257,0,36,8.23,RENT,credit_card,0
443,35672.35,30556.58,0.0,0.255,0,60,18.53,MORTGAGE,debt_consolidation,0
695,35238.36,35840.98,0.2,0.218,0,60,11.02,RENT,credit_card,0
734,36661.47,29623.01,5.3,0.238,0,36,8.51,RENT,major_purchase,0
547,68165.09,18440.78,4.5,0.571,0,36,12.77,OWN,credit_card,0
706,31257.26,42136.84,3.4,0.295,2,36,11.25,RENT,debt_consolidation,0
450,57556.4,32958.61,11.3,0.432,0,60,16.77,RENT,credit_card,0
343,68602.28,24217.97,0.8,0.168,0,36,21.02,MORTGAGE,other,0
353,47112.31,10101.42,5.6,0.439,0,36,20.26,RENT,other,1
546,77228.87,29554.9,3.0,0.36,0,36,15.41,RENT,credit_card,0
797,42747.26,27035.7,6.6,0.136,1,60,7.79,RENT,credit_card,0
370,44523.17,31066.52,3.6,0.496,0,60,21.51,MORTGAGE,debt_consolidation,1
551,31578.73,35369.49,6.1,0.109,0,36,15.46,RENT,other,0
687,77476.49,41262.18,2.6,0.109,1,36,8.35,MORTGAGE,debt_consolidation,0
411,34719.81,42758.49,3.6,0.45,1,60,18.32,RENT,credit_card,1
697,57376.91,28728.16,5.7,0.195,0,60,10.6,OWN,credit_card,0
468,47472.59,43502.07,1.3,0.322,0,60,16.61,RENT,debt_consolidation,0
745,30523.36,41102.59,3.3,0.106,0,60,10.46,RENT,credit_card,0
619,37268.49,1115.03,9.0,0.118,0,60,13.26,RENT,credit_card,0
601,91335.29,29055.17,3.9,0.211,0,60,10.95,MORTGAGE,debt_consolidation,0
397,53677.32,8852.65,0.4,0.125,0,36,18.73,RENT,debt_consolidation,0
555,31128.6,13988.48,1.6,0.145,0,60,14.6,RENT,credit_card,0
771,56240.8,14090.01,11.8,0.302,0,60,7.33,MORTGAGE,other,0
310,45901.3,22257.7,1.7,0.529,0,36,22.52,RENT,other,1
717,231960.15,1478.11,4.1,0.213,0,36,10.53,MORTGAGE,credit_card,0
571,55731.77,11375.04,5.9,0.196,0,36,14.58,RENT,major_purchase,1
696,41304.17,2281.32,5.6,0.396,0,60,11.35,RENT,major_purchase,0
665,92875.26,29624.58,6.5,0.276,1,36,12.98,OWN,other,0
538,21408.29,40128.65,4.9,0.245,0,36,16.07,RENT,home_improvement,0
470,51146.23,44902.7,3.0,0.138,0,36,18.02,RENT,debt_consolidation,1
645,120269.8,20736.5,0.1,0.195,1,60,11.94,MORTGAGE,other,0
377,46523.38,12446.21,3.6,0.393,0,36,19.06,MORTGAGE,debt_consolidation,0
621,22471.76,38536.56,2.8,0.248,2,36,15.12,MORTGAGE,debt_consolidation,0
352,41020.9,5978.97,2.5,0.104,3,36,20.98,MORTGAGE,credit_card,1
658,94327.98,43866.52,5.1,0.446,0,36,10.43,RENT,other,0
646,58059.95,32452.85,1.3,0.288,1,36,11.84,RENT,home_improvement,0
346,33607.84,23173.13,0.9,0.14,1,36,20.24,MORTGAGE,home_improvement,0
717,36013.2,5252.62,3.0,0.193,0,60,10.86,MORTGAGE,debt_consolidation,0
529,38106.3,1800.62,1.8,0.415,0,60,14.96,RENT,home_improvement,0
733,57672.69,24959.42,3.9,0.132,0,36,7.55,MORTGAGE,debt_consolidation,0
322,89517.4,19209.42,3.7,0.25,0,60,22.06,MORTGAGE,debt_consolidation,0
398,78715.11,38077.24,3.9,0.378,0,60,18.51,RENT,major_purchase,0
572,60186.63,29261.44,3.0,0.275,0,36,11.32,RENT,credit_card,0
403,26923.64,20003.44,0.8,0.268,0,36,20.09,MORTGAGE,major_purchase,0
481,26968.65,10944.31,7.4,0.126,0,60,15.16,RENT,debt_consolidation,0
663,62315.37,22138.58,0.3,0.327,1,36,10.25,RENT,home_improvement,0
379,26756.64,8171.75,9.5,0.3,0,36,19.8,OWN,debt_consolidation,1
673,44289.14,30348.56,8.1,0.049,0,36,11.32,RENT,debt_consolidation,0
356,56211.0,27652.08,7.4,0.336,0,60,19.72,MORTGAGE,debt_consolidation,0
396,29380.39,36643.14,6.4,0.517,0,36,19.65,MORTGAGE,debt_consolidation,1
623,30917.63,20779.29,10.4,0.531,0,36,13.61,RENT,other,0
737,46987.91,13260.54,11.5,0.27,0,36,8.18,MORTGAGE,home_improvement,0
393,61490.79,37801.4,2.5,0.193,0,36,19.38,MORTGAGE,other,1
465,79037.95,31403.87,18.1,0.437,0,60,17.36,RENT,debt_consolidation,0
809,64419.65,32095.2,2.9,0.228,0,60,8.63,MORTGAGE,major_purchase,0
845,50672.85,24235.72,1.0,0.176,1,60,6.4,RENT,debt_consolidation,0
620,35038.84,39543.06,12.6,0.616,0,36,10.48,MORTGAGE,debt_consolidation,0
546,30275.43,11022.47,1.1,0.063,0,36,17.61,RENT,major_purchase,0
491,38952.78,18674.45,0.5,0.495,3,36,16.57,RENT,debt_consolidation,0
637,58951.54,36034.23,13.6,0.203,0,60,12.49,RENT,major_purchase,0
625,57038.44,6850.28,0.3,0.362,0,60,12.41,MORTGAGE,other,0
462,19054.22,36556.82,7.7,0.262,0,60,17.6,MORTGAGE,debt_consolidation,0
312,34421.8,16514.19,23.4,0.404,0,60,22.15,MORTGAGE,other,1
383,84290.83,6522.16,5.8,0.247,0,36,20.5,OWN,credit_card,0
828,50799.75,4482.58,6.3,0.217,1,36,6.44,MORTGAGE,home_improvement,0
530,25909.01,38093.26,4.5,0.317,0,60,12.43,MORTGAGE,major_purchase,0
565,141509.13,35259.08,2.5,0.37,0,36,13.75,RENT,home_improvement,0
557,48386.5,13673.82,1.4,0.19,0,36,14.25,MORTGAGE,other,0
731,58276.27,6119.94,21.5,0.187,0,60,8.62,RENT,other,0
335,58676.0,11878.31,10.1,0.45,0,36,19.66,MORTGAGE,debt_consolidation,0
345,41547.06,10371.46,4.3,0.192,0,36,20.1,OWN,home_improvement,1
451,35333.68,33254.45,0.5,0.238,0,36,18.62,MORTGAGE,credit_card,1
568,127357.55,10484.78,0.2,0.405,0,36,14.56,RENT,debt_consolidation,0
669,76990.91,10508.33,1.6,0.387,1,36,9.62,MORTGAGE,debt_consolidation,0
570,70960.01,2419.8,1.2,0.499,0,60,12.02,RENT,debt_consolidation,0
543,63533.98,27261.83,19.6,0.171,1,36,12.79,MORTGAGE,credit_card,0
816,31210.42,31315.1,6.8,0.276,1,36,7.26,MORTGAGE,debt_consolidation,0
388,87106.66,29753.58,0.6,0.311,0,36,17.61,MORTGAGE,debt_consolidation,0
615,33543.23,26018.36,12.2,0.438,0,60,12.71,RENT,other,0
598,55685.72,43507.3,5.1,0.09,2,60,14.09,MORTGAGE,other,0
560,23441.77,21800.49,2.6,0.086,1,60,14.88,RENT,home_improvement,0
744,19567.27,38846.01,1.3,0.082,0,36,8.64,RENT,other,0
447,56569.83,29424.44,9.0,0.39,0,60,19.56,RENT,credit_card,0
825,34060.9,4703.13,5.4,0.395,0,36,5.96,MORTGAGE,credit_card,0
482,20027.76,36643.89,0.9,0.273,0,36,16.83,RENT,credit_card,0
600,62522.03,26713.1,9.1,0.074,0,36,12.78,MORTGAGE,debt_consolidation,0
586,127266.21,29755.13,19.4,0.625,0,36,13.41,MORTGAGE,debt_consolidation,0
768,91610.59,8930.01,1.0,0.291,0,36,9.34,MORTGAGE,credit_card,0
541,43660.84,20249.56,3.0,0.264,0,36,15.73,MORTGAGE,credit_card,0
456,49216.31,39745.63,1.0,0.392,1,36,15.25,OWN,credit_card,0
311,73091.53,10478.97,11.5,0.24,1,36,20.41,OWN,credit_card,0
500,81223.31,1005.5,0.9,0.179,0,60,17.14,RENT,home_improvement,1
755,41999.33,12330.38,1.0,0.131,0,60,7.16,MORTGAGE,other,0
305,49780.57,22451.87,11.6,0.396,0,60,20.6,RENT,major_purchase,1
793,56121.63,37136.23,2.4,0.255,0,60,8.04,RENT,debt_consolidation,0
599,62896.41,29304.8,13.2,0.354,2,36,14.43,RENT,debt_consolidation,0
377,46171.39,41438.79,0.3,0.392,0,60,20.74,MORTGAGE,major_purchase,1
466,46442.1,21044.83,6.7,0.392,0,36,15.2,OWN,debt_consolidation,0
605,91210.43,18195.87,6.1,0.509,0,60,12.76,MORTGAGE,debt_consolidation,0
473,84481.2,11182.4,1.4,0.307,0,36,16.47,RENT,debt_consolidation,0
359,60768.98,10594.75,0.3,0.339,0,36,19.53,RENT,credit_card,0
666,106255.21,33388.84,0.1,0.54,0,60,9.43,OWN,debt_consolidation,0
670,41196.12,4535.8,9.0,0.162,0,60,12.84,MORTGAGE,debt_consolidation,0
365,101756.51,11679.4,12.8,0.107,0,36,19.93,OWN,debt_consolidation,0
454,62575.68,39979.39,4.1,0.432,0,60,16.31,RENT,credit_card,0
434,213621.65,26384.52,2.2,0.397,0,36,18.5,RENT,home_improvement,0
663,28663.6,3049.85,0.3,0.059,0,36,11.2,MORTGAGE,other,0
702,35946.77,31987.22,3.4,0.223,0,36,11.27,OWN,debt_consolidation,0
700,59187.11,23294.02,14.8,0.264,1,60,9.74,RENT,home_improvement,0
817,58615.55,38598.96,9.8,0.439,0,36,6.4,RENT,debt_consolidation,0
723,117896.52,31027.09,4.0,0.336,0,60,9.69,MORTGAGE,credit_card,0
476,36287.6,1195.65,0.5,0.136,1,60,17.67,RENT,debt_consolidation,0
359,73659.86,10052.52,4.6,0.496,0,60,19.08,RENT,credit_card,0
638,82711.04,12350.4,0.5,0.45,2,36,10.46,OWN,credit_card,0
804,67311.85,31898.22,10.7,0.115,0,60,7.92,RENT,other,0
837,31810.5,23409.82,8.9,0.649,0,36,6.69,MORTGAGE,debt_consolidation,0
426,92363.9,33887.69,8.7,0.344,0,36,18.37,RENT,major_purchase,0
430,85237.45,23566.16,0.0,0.427,0,36,18.29,OWN,home_improvement,0
320,64203.5,15404.92,1.1,0.315,1,36,21.43,MORTGAGE,credit_card,0
377,53742.34,5561.07,8.9,0.321,0,36,21.35,OWN,home_improvement,0
605,54271.18,9915.37,3.8,0.37,1,60,13.35,MORTGAGE,credit_card,0
601,47314.35,18634.32,4.9,0.392,0,36,12.98,MORTGAGE,home_improvement,0
504,65404.96,25263.99,2.0,0.476,0,60,14.8,RENT,debt_consolidation,0
